Date,Land Class,Land Category,Commodity,Volume
06/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7641527
06/01/2004,Federal,Onshore,Gas Prod Vol (mcf),247777517
06/01/2004,Native American,Onshore,Gas Prod Vol (mcf),29256413
06/01/2004,Federal,Offshore,Oil Prod Vol (bbl),45749465
06/01/2004,Federal,Offshore,Gas Prod Vol (mcf),343370432
06/01/2004,Native American,Onshore,Coal Prod Vol (tons),2814287
07/01/2004,Native American,Onshore,Oil Prod Vol (bbl),953360
07/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30102925
07/01/2004,Native American,Onshore,Coal Prod Vol (tons),2257866
07/01/2004,Federal,Onshore,Coal Prod Vol (tons),38767113
07/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7854263
07/01/2004,Federal,Onshore,Gas Prod Vol (mcf),262225457
07/01/2004,Federal,Offshore,Oil Prod Vol (bbl),53256487
07/01/2004,Federal,Offshore,Gas Prod Vol (mcf),361432186
08/01/2004,Federal,Onshore,Gas Prod Vol (mcf),265827351
08/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7871379
08/01/2004,Federal,Onshore,Coal Prod Vol (tons),39475725
08/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30054252
08/01/2004,Native American,Onshore,Oil Prod Vol (bbl),972186
08/01/2004,Native American,Onshore,Coal Prod Vol (tons),2860888
08/01/2004,Federal,Offshore,Gas Prod Vol (mcf),354075520
08/01/2004,Federal,Offshore,Oil Prod Vol (bbl),51092432
09/01/2004,Federal,Onshore,Coal Prod Vol (tons),39930106
09/01/2004,Federal,Onshore,Gas Prod Vol (mcf),262225309
09/01/2004,Native American,Onshore,Gas Prod Vol (mcf),29005672
09/01/2004,Federal,Offshore,Oil Prod Vol (bbl),37946564
09/01/2004,Native American,Onshore,Oil Prod Vol (bbl),961630
09/01/2004,Native American,Onshore,Coal Prod Vol (tons),3098376
09/01/2004,Federal,Offshore,Gas Prod Vol (mcf),280775633
09/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7612549
10/01/2004,Native American,Onshore,Coal Prod Vol (tons),2834810
10/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30287260
10/01/2004,Federal,Onshore,Gas Prod Vol (mcf),275271551
10/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7907488
10/01/2004,Federal,Onshore,Coal Prod Vol (tons),39677776
10/01/2004,Federal,Offshore,Gas Prod Vol (mcf),303926128
10/01/2004,Federal,Offshore,Oil Prod Vol (bbl),39371356
10/01/2004,Native American,Onshore,Oil Prod Vol (bbl),988454
11/01/2004,Federal,Offshore,Oil Prod Vol (bbl),45004186
11/01/2004,Federal,Onshore,Coal Prod Vol (tons),38363559
11/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7761815
11/01/2004,Federal,Onshore,Gas Prod Vol (mcf),269584497
11/01/2004,Federal,Offshore,Gas Prod Vol (mcf),313078855
11/01/2004,Native American,Onshore,Oil Prod Vol (bbl),977517
11/01/2004,Native American,Onshore,Coal Prod Vol (tons),2481476
11/01/2004,Native American,Onshore,Gas Prod Vol (mcf),29786898
12/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30321126
12/01/2004,Federal,Onshore,Gas Prod Vol (mcf),278007497
12/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7916693
12/01/2004,Federal,Onshore,Coal Prod Vol (tons),38672407
12/01/2004,Federal,Offshore,Gas Prod Vol (mcf),309817111
12/01/2004,Native American,Onshore,Oil Prod Vol (bbl),1012648
12/01/2004,Federal,Offshore,Oil Prod Vol (bbl),48642157
12/01/2004,Native American,Onshore,Coal Prod Vol (tons),3016398
01/01/2005,Native American,Onshore,Oil Prod Vol (bbl),974897
01/01/2005,Federal,Onshore,Gas Prod Vol (mcf),278249838
01/01/2005,Native American,Onshore,Coal Prod Vol (tons),2861003
01/01/2005,Federal,Offshore,Oil Prod Vol (bbl),48966412
01/01/2005,Federal,Offshore,Gas Prod Vol (mcf),316500853
01/01/2005,Federal,Onshore,Coal Prod Vol (tons),37597569
01/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29805525
01/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7832037
02/01/2005,Federal,Onshore,Coal Prod Vol (tons),37757279
02/01/2005,Federal,Onshore,Gas Prod Vol (mcf),249798477
02/01/2005,Native American,Onshore,Oil Prod Vol (bbl),901917
02/01/2005,Native American,Onshore,Gas Prod Vol (mcf),26765032
02/01/2005,Native American,Onshore,Coal Prod Vol (tons),2737327
02/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7122697
02/01/2005,Federal,Offshore,Gas Prod Vol (mcf),293032685
02/01/2005,Federal,Offshore,Oil Prod Vol (bbl),44114577
03/01/2005,Native American,Onshore,Coal Prod Vol (tons),2889277
03/01/2005,Native American,Onshore,Oil Prod Vol (bbl),988326
03/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29856325
03/01/2005,Federal,Offshore,Gas Prod Vol (mcf),330982305
03/01/2005,Federal,Offshore,Oil Prod Vol (bbl),51150136
03/01/2005,Federal,Onshore,Gas Prod Vol (mcf),273355474
03/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7839682
03/01/2005,Federal,Onshore,Coal Prod Vol (tons),41971071
04/01/2005,Federal,Offshore,Gas Prod Vol (mcf),320039774
04/01/2005,Federal,Offshore,Oil Prod Vol (bbl),49717744
04/01/2005,Native American,Onshore,Coal Prod Vol (tons),2837532
04/01/2005,Federal,Onshore,Gas Prod Vol (mcf),263719043
04/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7631896
04/01/2005,Federal,Onshore,Coal Prod Vol (tons),37251010
04/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28562970
04/01/2005,Native American,Onshore,Oil Prod Vol (bbl),936676
05/01/2005,Federal,Onshore,Coal Prod Vol (tons),33464857
05/01/2005,Federal,Offshore,Gas Prod Vol (mcf),336761029
05/01/2005,Native American,Onshore,Oil Prod Vol (bbl),989150
05/01/2005,Native American,Onshore,Coal Prod Vol (tons),3099050
05/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29913251
05/01/2005,Federal,Onshore,Gas Prod Vol (mcf),272784470
05/01/2005,Federal,Offshore,Oil Prod Vol (bbl),53029498
05/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7917497
06/01/2005,Federal,Onshore,Gas Prod Vol (mcf),260907860
06/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7615472
06/01/2005,Federal,Onshore,Coal Prod Vol (tons),36088007
06/01/2005,Native American,Onshore,Coal Prod Vol (tons),2863100
06/01/2005,Federal,Offshore,Gas Prod Vol (mcf),316761828
06/01/2005,Federal,Offshore,Oil Prod Vol (bbl),49299333
06/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29040892
06/01/2005,Native American,Onshore,Oil Prod Vol (bbl),951434
07/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29415028
07/01/2005,Native American,Onshore,Oil Prod Vol (bbl),983751
07/01/2005,Federal,Offshore,Gas Prod Vol (mcf),301987672
07/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7800954
07/01/2005,Federal,Onshore,Coal Prod Vol (tons),38308089
07/01/2005,Federal,Onshore,Gas Prod Vol (mcf),270621787
07/01/2005,Native American,Onshore,Coal Prod Vol (tons),2402519
07/01/2005,Federal,Offshore,Oil Prod Vol (bbl),47300818
08/01/2005,Federal,Offshore,Oil Prod Vol (bbl),44524355
08/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7917261
08/01/2005,Federal,Onshore,Coal Prod Vol (tons),37041753
08/01/2005,Native American,Onshore,Coal Prod Vol (tons),3052907
08/01/2005,Native American,Onshore,Oil Prod Vol (bbl),995571
08/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29548632
08/01/2005,Federal,Onshore,Gas Prod Vol (mcf),276720425
08/01/2005,Federal,Offshore,Gas Prod Vol (mcf),283967403
09/01/2005,Federal,Offshore,Gas Prod Vol (mcf),146226107
09/01/2005,Federal,Onshore,Gas Prod Vol (mcf),270954207
09/01/2005,Federal,Offshore,Oil Prod Vol (bbl),16481356
09/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28504899
09/01/2005,Native American,Onshore,Oil Prod Vol (bbl),952335
09/01/2005,Native American,Onshore,Coal Prod Vol (tons),3117008
09/01/2005,Federal,Onshore,Coal Prod Vol (tons),36881647
09/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7694668
10/01/2005,Federal,Onshore,Gas Prod Vol (mcf),283949770
10/01/2005,Federal,Onshore,Coal Prod Vol (tons),34115112
10/01/2005,Federal,Offshore,Oil Prod Vol (bbl),23993307
10/01/2005,Federal,Offshore,Gas Prod Vol (mcf),142680304
10/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29725896
10/01/2005,Native American,Onshore,Oil Prod Vol (bbl),984328
10/01/2005,Native American,Onshore,Coal Prod Vol (tons),2825164
10/01/2005,Federal,Onshore,Oil Prod Vol (bbl),8104307
11/01/2005,Federal,Onshore,Gas Prod Vol (mcf),281633319
11/01/2005,Federal,Onshore,Coal Prod Vol (tons),35522134
11/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28252917
11/01/2005,Native American,Onshore,Oil Prod Vol (bbl),931083
11/01/2005,Native American,Onshore,Coal Prod Vol (tons),2577174
11/01/2005,Federal,Offshore,Gas Prod Vol (mcf),203466670
11/01/2005,Federal,Offshore,Oil Prod Vol (bbl),31051976
11/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7834407
12/01/2005,Native American,Onshore,Oil Prod Vol (bbl),947186
12/01/2005,Native American,Onshore,Coal Prod Vol (tons),2227485
12/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28213133
12/01/2005,Federal,Offshore,Gas Prod Vol (mcf),240539867
12/01/2005,Federal,Offshore,Oil Prod Vol (bbl),37564682
12/01/2005,Federal,Onshore,Gas Prod Vol (mcf),285542246
12/01/2005,Federal,Onshore,Oil Prod Vol (bbl),8034696
12/01/2005,Federal,Onshore,Coal Prod Vol (tons),34338379
01/01/2006,Federal,Offshore,Oil Prod Vol (bbl),39349064
01/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28081359
01/01/2006,Federal,Offshore,Gas Prod Vol (mcf),251000886
01/01/2006,Federal,Onshore,Coal Prod Vol (tons),36482915
01/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8052929
01/01/2006,Federal,Onshore,Gas Prod Vol (mcf),292205102
01/01/2006,Native American,Onshore,Coal Prod Vol (tons),2637932
01/01/2006,Native American,Onshore,Oil Prod Vol (bbl),909510
02/01/2006,Native American,Onshore,Gas Prod Vol (mcf),25753064
02/01/2006,Federal,Onshore,Gas Prod Vol (mcf),263430211
02/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7359755
02/01/2006,Federal,Onshore,Coal Prod Vol (tons),32452852
02/01/2006,Native American,Onshore,Oil Prod Vol (bbl),808468
02/01/2006,Federal,Offshore,Gas Prod Vol (mcf),221445869
02/01/2006,Federal,Offshore,Oil Prod Vol (bbl),34948509
02/01/2006,Native American,Onshore,Coal Prod Vol (tons),2265006
03/01/2006,Federal,Onshore,Coal Prod Vol (tons),35033102
03/01/2006,Native American,Onshore,Coal Prod Vol (tons),2559734
03/01/2006,Native American,Onshore,Oil Prod Vol (bbl),926967
03/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28411942
03/01/2006,Federal,Onshore,Gas Prod Vol (mcf),293707875
03/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8221396
03/01/2006,Federal,Offshore,Gas Prod Vol (mcf),247569171
03/01/2006,Federal,Offshore,Oil Prod Vol (bbl),39897717
04/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27300993
04/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7882561
04/01/2006,Federal,Onshore,Gas Prod Vol (mcf),279959744
04/01/2006,Native American,Onshore,Coal Prod Vol (tons),2300077
04/01/2006,Native American,Onshore,Oil Prod Vol (bbl),921949
04/01/2006,Federal,Onshore,Coal Prod Vol (tons),36760830
04/01/2006,Federal,Offshore,Gas Prod Vol (mcf),245949530
04/01/2006,Federal,Offshore,Oil Prod Vol (bbl),39533860
05/01/2006,Native American,Onshore,Oil Prod Vol (bbl),946652
05/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28211595
05/01/2006,Federal,Offshore,Gas Prod Vol (mcf),263859110
05/01/2006,Native American,Onshore,Coal Prod Vol (tons),2448381
05/01/2006,Federal,Onshore,Coal Prod Vol (tons),39222190
05/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8139206
05/01/2006,Federal,Onshore,Gas Prod Vol (mcf),285687668
05/01/2006,Federal,Offshore,Oil Prod Vol (bbl),42632117
06/01/2006,Federal,Onshore,Coal Prod Vol (tons),38664425
06/01/2006,Federal,Offshore,Oil Prod Vol (bbl),42325078
06/01/2006,Native American,Onshore,Coal Prod Vol (tons),1765339
06/01/2006,Native American,Onshore,Oil Prod Vol (bbl),911682
06/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27185691
06/01/2006,Federal,Offshore,Gas Prod Vol (mcf),254684178
06/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7833114
06/01/2006,Federal,Onshore,Gas Prod Vol (mcf),278394047
07/01/2006,Federal,Onshore,Coal Prod Vol (tons),38606766
07/01/2006,Federal,Offshore,Gas Prod Vol (mcf),263141537
07/01/2006,Federal,Offshore,Oil Prod Vol (bbl),45032289
07/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28033366
07/01/2006,Native American,Onshore,Oil Prod Vol (bbl),953515
07/01/2006,Native American,Onshore,Coal Prod Vol (tons),2149924
07/01/2006,Federal,Onshore,Gas Prod Vol (mcf),289185934
07/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8051410
08/01/2006,Native American,Onshore,Coal Prod Vol (tons),2390795
08/01/2006,Federal,Onshore,Gas Prod Vol (mcf),290223305
08/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8109824
08/01/2006,Federal,Onshore,Coal Prod Vol (tons),39664527
08/01/2006,Federal,Offshore,Oil Prod Vol (bbl),45695403
08/01/2006,Federal,Offshore,Gas Prod Vol (mcf),257602688
08/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27986792
08/01/2006,Native American,Onshore,Oil Prod Vol (bbl),966665
09/01/2006,Native American,Onshore,Gas Prod Vol (mcf),26767656
09/01/2006,Native American,Onshore,Oil Prod Vol (bbl),942195
09/01/2006,Federal,Onshore,Coal Prod Vol (tons),35609815
09/01/2006,Federal,Onshore,Gas Prod Vol (mcf),279248237
09/01/2006,Native American,Onshore,Coal Prod Vol (tons),2307367
09/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7859246
09/01/2006,Federal,Offshore,Oil Prod Vol (bbl),41877205
09/01/2006,Federal,Offshore,Gas Prod Vol (mcf),244847240
10/01/2006,Federal,Onshore,Gas Prod Vol (mcf),302575371
10/01/2006,Federal,Offshore,Gas Prod Vol (mcf),250487542
10/01/2006,Native American,Onshore,Oil Prod Vol (bbl),948221
10/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27632418
10/01/2006,Federal,Offshore,Oil Prod Vol (bbl),43792435
10/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8129997
10/01/2006,Federal,Onshore,Coal Prod Vol (tons),37555671
10/01/2006,Native American,Onshore,Coal Prod Vol (tons),2204949
11/01/2006,Native American,Onshore,Coal Prod Vol (tons),2244728
11/01/2006,Native American,Onshore,Gas Prod Vol (mcf),26781250
11/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8048711
11/01/2006,Federal,Onshore,Coal Prod Vol (tons),36102415
11/01/2006,Federal,Offshore,Oil Prod Vol (bbl),42201852
11/01/2006,Federal,Offshore,Gas Prod Vol (mcf),243752127
11/01/2006,Federal,Onshore,Gas Prod Vol (mcf),296208808
11/01/2006,Native American,Onshore,Oil Prod Vol (bbl),952895
12/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8267830
12/01/2006,Federal,Onshore,Gas Prod Vol (mcf),308300763
12/01/2006,Federal,Offshore,Gas Prod Vol (mcf),248599440
12/01/2006,Federal,Offshore,Oil Prod Vol (bbl),43823983
12/01/2006,Native American,Onshore,Oil Prod Vol (bbl),888255
12/01/2006,Native American,Onshore,Gas Prod Vol (mcf),27106319
12/01/2006,Native American,Onshore,Coal Prod Vol (tons),2943805
12/01/2006,Federal,Onshore,Coal Prod Vol (tons),39046813
01/01/2007,Native American,Onshore,Oil Prod Vol (bbl),878785
01/01/2007,Federal,Offshore,Gas Prod Vol (mcf),242907927
01/01/2007,Federal,Offshore,Oil Prod Vol (bbl),43836647
01/01/2007,Native American,Onshore,Coal Prod Vol (tons),2289888
01/01/2007,Native American,Onshore,Gas Prod Vol (mcf),26451433
01/01/2007,Federal,Onshore,Coal Prod Vol (tons),37755352
01/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8188219
01/01/2007,Federal,Onshore,Gas Prod Vol (mcf),305255731
02/01/2007,Federal,Onshore,Coal Prod Vol (tons),32513916
02/01/2007,Native American,Onshore,Coal Prod Vol (tons),2044439
02/01/2007,Federal,Offshore,Oil Prod Vol (bbl),39037673
02/01/2007,Native American,Onshore,Oil Prod Vol (bbl),835118
02/01/2007,Native American,Onshore,Gas Prod Vol (mcf),24224681
02/01/2007,Federal,Offshore,Gas Prod Vol (mcf),220205631
02/01/2007,Federal,Onshore,Gas Prod Vol (mcf),275042621
02/01/2007,Federal,Onshore,Oil Prod Vol (bbl),7537692
03/01/2007,Native American,Onshore,Coal Prod Vol (tons),2488982
03/01/2007,Federal,Onshore,Gas Prod Vol (mcf),308968150
03/01/2007,Federal,Onshore,Oil Prod Vol (bbl),8337134
03/01/2007,Federal,Onshore,Coal Prod Vol (tons),34422978
03/01/2007,Federal,Offshore,Gas Prod Vol (mcf),245248566
03/01/2007,Federal,Offshore,Oil Prod Vol (bbl),41883454
03/01/2007,Native American,Onshore,Gas Prod Vol (mcf),26900986
03/01/2007,Native American,Onshore,Oil Prod Vol (bbl),958716
04/01/2007,Federal,Offshore,Gas Prod Vol (mcf),239941517
04/01/2007,Federal,Onshore,Gas Prod Vol (mcf),296213335
04/01/2007,Native American,Onshore,Gas Prod Vol (mcf),25926686
04/01/2007,Native American,Onshore,Oil Prod Vol (bbl),944233
04/01/2007,Native American,Onshore,Coal Prod Vol (tons),2621364
04/01/2007,Federal,Onshore,Coal Prod Vol (tons),37858890
04/01/2007,Federal,Offshore,Oil Prod Vol (bbl),42552221
